Device ID,Total Pkts,Pkts Recived,Loss %
1,1363,1303,0.9559794570799707
2,1365,1314,0.9626373626373627
3,1362,1303,0.9566813509544787
4,1365,1312,0.9611721611721612
5,1368,1310,0.9576023391812866
6,1166,1113,0.9545454545454546
7,1115,1068,0.957847533632287
8,1365,1066,0.780952380952381
9,1362,1061,0.7790014684287812
10,1366,1310,0.95900439238653
