devid,pid,time,diff,data,rawdata,validity
02,165036,16:58:35:38,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284acf4f4f4f4f4f4f4f4fe86,valid
04,164886,16:58:35:41,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028416f4f4f4f4f4f4f4f4fec0,valid
05,165211,16:58:35:45,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff0502855bf4f4f4f4f4f4f4f4fe0c,valid
07,3241,16:58:35:49,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000ca9f4f4f4f4f4f4f4f4fe20,valid
0a,804,16:58:35:52,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000324f4f4f4f4f4f4f4f4fe22,valid
03,164554,16:58:35:56,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282caf4f4f4f4f4f4f4f4fe64,valid
08,3314,16:58:35:62,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf2f4f4f4f4f4f4f4f4fe36,valid
01,164775,16:58:35:72,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283a7f4f4f4f4f4f4f4f4fe33,valid
09,3318,16:58:35:84,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cf6f4f4f4f4f4f4f4f4feea,valid
06,3191,16:58:35:88,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c77f4f4f4f4f4f4f4f4fe6d,valid
02,165037,16:58:35:91,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284adf4f4f4f4f4f4f4f4fe85,valid
04,164887,16:58:35:94,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106846a464101ff04028417f4f4f4f4f4f4f4f4febf,valid
05,165212,16:58:35:97,0s,f4f4f4f4f4f4f4,7e001a90007d33a200410684669e5a01ff0502855cf4f4f4f4f4f4f4f4fe0b,valid
07,3242,16:58:36:19,0s,f4f4f4f4f4f4f4,7e001a90007d33a200416756dd2a3b01ff07000caaf4f4f4f4f4f4f4f4fe1f,valid
0a,805,16:58:36:45,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004127184c936a01ff0a000325f4f4f4f4f4f4f4f4fe21,valid
03,164555,16:58:36:85,0s,f4f4f4f4f4f4f4,7e001a90007d33a2004106845fe55801ff030282cbf4f4f4f4f4f4f4f4fe63,valid
08,3315,16:58:36:13,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041bc3a9a6ea101ff08000cf3f4f4f4f4f4f4f4f4fe35,valid
01,164776,16:58:36:28,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041068457d4c601ff010283a8f4f4f4f4f4f4f4f4fe32,valid
09,3319,16:58:36:36,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041063455233401ff09000cf7f4f4f4f4f4f4f4f4fee9,valid
06,3192,16:58:36:39,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041de598f849b01ff06000c78f4f4f4f4f4f4f4f4fe6c,valid
02,165038,16:58:36:42,0s,f4f4f4f4f4f4f4,7e001a90007d33a20041923dd4aad401ff020284aef4f4f4f4f4f4f4f4fe84,valid
